Open,High,Low,Close,Volume,Dividends,Stock Splits
146.12,146.23,146.09,146.1,64062,0.0,0.0
146.09,146.12,145.87,145.88,136758,0.0,0.0
145.86,145.99,145.81,145.96,71796,0.0,0.0
145.95,145.98,145.85,145.89,84008,0.0,0.0
145.89,145.94,145.72,145.76,112894,0.0,0.0
145.76,145.85,145.72,145.84,70945,0.0,0.0
145.84,145.85,145.54,145.58,127434,0.0,0.0
145.58,145.61,145.3,145.37,161771,0.0,0.0
145.35,145.37,145.1,145.12,160347,0.0,0.0
145.12,145.23,145.09,145.18,130766,0.0,0.0
145.18,145.38,145.14,145.36,117480,0.0,0.0
145.38,145.44,145.26,145.44,80848,0.0,0.0
145.44,145.47,145.28,145.29,71186,0.0,0.0
145.3,145.47,145.28,145.43,70358,0.0,0.0
145.42,145.6,145.39,145.39,109412,0.0,0.0
145.38,145.62,145.35,145.54,90105,0.0,0.0
145.54,145.63,145.52,145.62,76073,0.0,0.0
145.61,145.66,145.51,145.61,62992,0.0,0.0
145.62,145.76,145.62,145.75,67431,0.0,0.0
145.75,145.84,145.65,145.66,80040,0.0,0.0
145.64,145.85,145.64,145.75,72559,0.0,0.0
145.74,145.76,145.61,145.72,53123,0.0,0.0
145.74,145.74,145.59,145.63,35887,0.0,0.0
145.64,145.7,145.59,145.63,66050,0.0,0.0
145.62,145.7,145.61,145.67,39996,0.0,0.0
145.65,145.85,145.63,145.84,62867,0.0,0.0
145.84,145.95,145.75,145.94,64558,0.0,0.0
145.95,145.99,145.88,145.94,75434,0.0,0.0
145.94,146.03,145.91,145.99,80534,0.0,0.0
145.99,146.11,145.97,146.1,74412,0.0,0.0
146.09,146.18,146.07,146.14,91604,0.0,0.0
146.13,146.16,145.93,146.12,126743,0.0,0.0
146.12,146.12,145.97,145.97,56733,0.0,0.0
145.97,145.98,145.89,145.92,72491,0.0,0.0
145.94,146.13,145.94,146.07,94745,0.0,0.0
146.06,146.18,146.01,146.13,99737,0.0,0.0
146.13,146.19,146.04,146.04,79241,0.0,0.0
146.05,146.09,146.02,146.08,60108,0.0,0.0
146.07,146.11,145.95,145.95,96500,0.0,0.0
145.96,146.09,145.95,146.01,48866,0.0,0.0
146.02,146.03,145.96,145.96,34777,0.0,0.0
145.96,145.97,145.91,145.93,37638,0.0,0.0
145.95,145.97,145.91,145.96,41988,0.0,0.0
145.95,146.09,145.95,146.07,63348,0.0,0.0
146.07,146.08,145.93,145.95,42875,0.0,0.0
145.95,146.02,145.95,145.96,82288,0.0,0.0
145.97,146.06,145.97,146.04,74313,0.0,0.0
146.04,146.11,146.01,146.03,87095,0.0,0.0
146.02,146.18,146.01,146.14,54357,0.0,0.0
146.14,146.2,146.11,146.18,88888,0.0,0.0
146.18,146.19,145.92,145.93,94922,0.0,0.0
145.94,146.01,145.91,146.01,51611,0.0,0.0
146.01,146.05,145.98,146.0,33299,0.0,0.0
146.01,146.02,145.93,145.95,42562,0.0,0.0
145.94,146.07,145.93,145.96,59965,0.0,0.0
145.95,146.05,145.92,146.02,43097,0.0,0.0
146.01,146.04,145.96,145.99,418874,0.0,0.0
145.99,146.0,145.87,145.89,79116,0.0,0.0
145.88,145.9,145.73,145.79,105576,0.0,0.0
145.8,145.89,145.8,145.82,50309,0.0,0.0
145.82,145.83,145.76,145.79,44515,0.0,0.0
145.8,145.85,145.74,145.76,59192,0.0,0.0
145.77,145.79,145.71,145.74,344231,0.0,0.0
145.76,145.86,145.73,145.83,62857,0.0,0.0
145.83,145.91,145.8,145.91,75575,0.0,0.0
145.89,145.91,145.56,145.56,109808,0.0,0.0
145.56,145.61,145.5,145.51,118036,0.0,0.0
145.52,145.52,145.32,145.5,110457,0.0,0.0
145.5,145.53,145.43,145.43,59736,0.0,0.0
145.43,145.48,145.39,145.48,63089,0.0,0.0
145.48,145.55,145.45,145.49,63239,0.0,0.0
145.5,145.53,145.44,145.44,63995,0.0,0.0
145.44,145.44,145.3,145.33,68822,0.0,0.0
145.33,145.42,145.31,145.39,70780,0.0,0.0
145.39,145.42,145.26,145.29,58325,0.0,0.0
